1720478226505: GET: /api/users
1720478299997: GET: /api/users/10005
1720478316808: GET: /api/users/1005
1720478511536: ::1: GET: /api/users
1720478538407: ::1: POST: /api/users
1720479672123: ::1: GET: /
1720479675647: ::1: GET: /
1720479685950: ::1: GET: /api/users
1720479686090: ::1: GET: /favicon.ico
1720479703391: ::1: GET: /api/users
1720489720517: ::1: GET: /api/users
1720489749182: ::1: POST: /api/users
1720490157497: ::1: POST: /api/users
1720490322981: ::1: GET: /api/users/2000
1720527388258: ::1: POST: /api/users
1720527454707: ::1: POST: /api/users
1720527486915: ::1: POST: /api/users
1720527653527: ::1: POST: /api/users
1720528058165: ::1: POST: /api/users
1720528206790: ::1: POST: /api/users
1720528444735: ::1: GET: /
1720528451105: ::1: GET: /api/users
1720528619697: ::1: GET: /
1720528623453: ::1: GET: /api/users
1720528627176: ::1: GET: /api/users
1720528739767: ::1: GET: /
1720528740910: ::1: GET: /
1720528746808: ::1: GET: /api/users
1720528751661: ::1: GET: /users
1720528751727: ::1: GET: /favicon.ico
1720528806709: ::1: POST: /api/users
1720528842541: ::1: GET: /users
1720529002254: ::1: GET: /api/users/2000
1720529013084: ::1: GET: /api/users
1720529210448: ::1: GET: /api/users/668d2fa64526e9527a778287
1720529273049: ::1: GET: /api/users/668d2fa64526e9527a778287
1720529313085: ::1: GET: /api/users/668d2cba556c66ef5e2eff57
1720529544257: ::1: PATCH: /api/users/668d2d4e5551700e03e1da4e
1720529699529: ::1: DELETE: /api/users/668d2cba556c66ef5e2eff57
1720529721965: ::1: GET: /users
